序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,ai_prob,human_prob,conclusion
1,0,294228317233,377550896,非洲猩猩消除器,6,保密,有什么比这个更快乐的事情呢！,2026-03-26 11:01:19,19,86,狗圆头狗圆头,浙江,否,https://i2.hdslb.com/bfs/face/f8787685d692546407bca9a1435da8b90a86a3d3.jpg,0.13767866790294647,0.8623213768005371,人类撰写
2,294228317233,294229680337,3546972162099970,我那么大个四级号呢,3,保密,饺子配咖啡[tv_doge],2026-03-26 11:14:13,0,3,,广东,否,https://i1.hdslb.com/bfs/face/1f142f0f368bd787737788fd8ce04e11f9db7a3f.jpg,0.33437061309814453,0.6656293869018555,人类撰写
3,294229680337,294230017697,377550896,非洲猩猩消除器,6,保密,回复 @我那么大个四级号呢 :我是温州人，没什么不妥吧[doge],2026-03-26 11:18:37,0,1,狗圆头狗圆头,浙江,否,https://i2.hdslb.com/bfs/face/f8787685d692546407bca9a1435da8b90a86a3d3.jpg,0.017659585922956467,0.9823404550552368,人类撰写
4,294228317233,296746255728,383514541,MSIO0001,5,保密,这个是真香,2026-03-26 11:19:53,0,1,,浙江,是,https://i1.hdslb.com/bfs/face/27fa787ef7e1a4e1579a16f4081791212ad13e35.jpg,0.035110075026750565,0.9648898839950562,人类撰写
5,296746255728,294230626993,377550896,非洲猩猩消除器,6,保密,回复 @MSIO0001 :是吧，所以想开点，那么玩大概率黄粱一梦皆成灰，本来此身也不过百岁。,2026-03-26 11:25:44,0,0,狗圆头狗圆头,浙江,否,https://i2.hdslb.com/bfs/face/f8787685d692546407bca9a1435da8b90a86a3d3.jpg,0.018288495019078255,0.9817115068435669,人类撰写
6,294228317233,294230820769,293706677,飞行家何足道,6,保密,饺子不错 咖啡少喝 咖啡因成瘾,2026-03-26 11:26:51,0,0,请带我去明天。,浙江,否,https://i2.hdslb.com/bfs/face/b8e39e2ee2d17dfff623f97e8c8dd0bf24583c96.jpg,0.02253309078514576,0.977466881275177,人类撰写
7,294230017697,294230825953,3537122038385080,Jerry_JW,5,保密,回复 @非洲猩猩消除器 :能吃辣？,2026-03-26 11:27:01,0,1,有空多赚钱 没事早点睡,湖北,否,https://i1.hdslb.com/bfs/face/55ecd4cf30dc057824f8a9bb9fe9e9d72151ced3.jpg,0.1472778171300888,0.85272216796875,人类撰写
8,294230825953,294230905137,377550896,非洲猩猩消除器,6,保密,回复 @Jerry_JW :温州是个神奇的地方这里的人口味千奇百怪[doge],2026-03-26 11:27:43,0,0,狗圆头狗圆头,浙江,否,https://i2.hdslb.com/bfs/face/f8787685d692546407bca9a1435da8b90a86a3d3.jpg,0.8121773600578308,0.18782268464565277,AI生成
9,294228317233,296747534320,457116539,折耳根村民,5,保密,那很快乐了,2026-03-26 11:32:02,0,0,,广东,否,https://i2.hdslb.com/bfs/face/1db12d4ea4a12ddf4b70beb17cac9821331bcc26.jpg,0.030696580186486244,0.9693034291267395,人类撰写
10,296747534320,294231337697,377550896,非洲猩猩消除器,6,保密,回复 @折耳根村民 :做人嘛就是要想得开，挺得住[doge]别想那么多以后怎么样,2026-03-26 11:33:12,0,0,狗圆头狗圆头,浙江,否,https://i2.hdslb.com/bfs/face/f8787685d692546407bca9a1435da8b90a86a3d3.jpg,0.029408344998955727,0.9705916047096252,人类撰写
11,294228317233,294231789441,346370593,九分十月,6,男,看起来好好吃[星星眼],2026-03-26 11:37:29,0,0,人生如棋，落子无悔。,广东,否,https://i1.hdslb.com/bfs/face/9d39e891a5eac165924bd6c607557501d8d2bbdd.jpg,0.038439955562353134,0.961560070514679,人类撰写
12,294228317233,296748068208,489921313,大臭语梵梵-,5,保密,过好每一天最重要,2026-03-26 11:38:33,0,0,,山东,否,https://i1.hdslb.com/bfs/face/c8c8be583ae2aff43b1a986bf20130cd870ef674.jpg,0.1670379489660263,0.8329620957374573,人类撰写
13,294228317233,296748300832,3546969815386930,九分一,3,保密,这得配白酒啊，越喝越有啊,2026-03-26 11:40:47,0,0,,北京,否,https://i1.hdslb.com/bfs/face/a6776786ec513810ed42026c5071a895c1aa9aff.jpg,0.034837331622838974,0.9651626348495483,人类撰写
14,294228317233,294232984033,1394602875,Ayato_74,6,男,这世间唯有爱与美食不可辜负,2026-03-26 11:50:18,0,0,,江苏,是,https://i0.hdslb.com/bfs/face/0acafe74e631b71259296b7ec58d688f7349eecf.jpg,0.8983944058418274,0.10160557180643082,AI生成
15,294228317233,296749336608,354269327,飞行高手科比,6,保密,我还以为南方人不吃饺子🥟,2026-03-26 11:51:58,0,0,,山东,否,https://i2.hdslb.com/bfs/face/319554c32f4467d857de807f043810bbc076ceb5.jpg,0.06078418344259262,0.9392158389091492,人类撰写
16,294228317233,294233646433,1644201083,一口仓鼠_yikoko,5,保密,按照原样给我再来一份(嚼),2026-03-26 11:56:36,0,0,,江苏,是,https://i2.hdslb.com/bfs/face/68c2371f3ab13ed41bc2905fe1214c198577d1f9.jpg,0.01575152575969696,0.9842484593391418,人类撰写
17,294228317233,296750121728,630482531,图点_,5,保密,深夜放毒,2026-03-26 11:59:16,0,0,,河北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,0.8030925989151001,0.1969074010848999,AI生成
18,294228317233,296750645648,47255334,-猫罐头_,6,男,碳水确实爽,2026-03-26 12:03:34,0,1, 降智,山东,否,https://i0.hdslb.com/bfs/face/0afe42ee2d8632303fb714f408441c9c34e7a1fc.jpg,0.6429800987243652,0.35701993107795715,AI生成
19,294228317233,294235521585,396974696,果小冻动动,5,男,这也太快了,2026-03-26 12:15:29,0,0,,山东,否,https://i2.hdslb.com/bfs/face/ef9fafc29ff1def8ad520f576cf86dea2922323b.jpg,0.042224567383527756,0.9577754139900208,人类撰写
20,294228317233,294235920881,589961291,以污泥濯我羽,5,保密,不准吃,2026-03-26 12:20:13,0,0,支持lbtqia,四川,否,https://i2.hdslb.com/bfs/face/f9d729c14da9361ff417fadf791606be3cd22869.jpg,0.05169076845049858,0.9483092427253723,人类撰写
21,0,296743006704,1920798426,齁嘔嘔嘔嘔,5,保密,吃苦的刻意宣傳當然是問題，不過想一想，方為人上人，真的是人上人嗎，還是別有他意，人上人被現代扭曲成一定是達官顯貴，可以大吃大喝，衣食無憂，本來就不是這個意思，我也對你自身也對你自身的遭遇感到十分抱歉，實際上，人上人傳達的是成為更好的一個人，了解自身的處境，你也不是撐過來了，有一句詩言「桃李春風一杯酒，江湖夜雨十年燈」，生活不會如你所願，但也就這樣子（好吧，其實有點雞湯文）[支持],2026-03-26 10:49:34,19,62,,中国台湾,否,https://i0.hdslb.com/bfs/face/fca164f5287849e64f9ed5ebcd858d34bec424bb.jpg,0.03899817168712616,0.9610018134117126,人类撰写
22,296743006704,296743415760,1889710,Paladinfeng,6,男,人上人是天生的[吃瓜],2026-03-26 10:53:09,0,1,这里什么都没有！,北京,是,https://i1.hdslb.com/bfs/face/6b33fec55c261695ec80b1a91261efec73ea7942.webp,0.032141394913196564,0.9678586721420288,人类撰写
23,296743006704,294227800513,388630388,老由读书笔记,5,保密,“天有十日，人有十等”出自左传，我是听鲁迅说的，可以查一下，自古不当人上人就是人下人,2026-03-26 10:55:09,0,4,,黑龙江,否,https://i2.hdslb.com/bfs/face/291db12250d0bfd9d71353d2220551090e1a6d29.jpg,0.015799324959516525,0.984200656414032,人类撰写
24,294227800513,296744598352,1920798426,齁嘔嘔嘔嘔,5,保密,回复 @老由读书笔记 :錯誤的，這兩個完全出處不同，你說的那句話，是描述當年周朝的體制，與這句話無關,2026-03-26 11:04:16,0,5,,中国台湾,否,https://i0.hdslb.com/bfs/face/fca164f5287849e64f9ed5ebcd858d34bec424bb.jpg,0.13761867582798004,0.8623812794685364,人类撰写
25,296743415760,296744632560,1920798426,齁嘔嘔嘔嘔,5,保密,回复 @Paladinfeng :不是天生的，如果是天生的，那我們大可不必有所作為，這是客觀的,2026-03-26 11:05:14,0,1,,中国台湾,否,https://i0.hdslb.com/bfs/face/fca164f5287849e64f9ed5ebcd858d34bec424bb.jpg,0.04548075050115585,0.9545192122459412,人类撰写
26,294227800513,296745059728,1920798426,齁嘔嘔嘔嘔,5,保密,回复 @老由读书笔记 :還有周朝當年強盛時，階級是可以固化的，但是你看，周朝的周禮一崩，一大堆貴族沒有著落，就會出來，很明顯，階級不會是粒粒分明的攤給你看的，沒有人能永遠的阻擋階級的流動,2026-03-26 11:08:20,0,0,,中国台湾,否,https://i0.hdslb.com/bfs/face/fca164f5287849e64f9ed5ebcd858d34bec424bb.jpg,0.015922648832201958,0.9840773344039917,人类撰写
27,296745059728,294229415761,388630388,老由读书笔记,5,保密,回复 @齁嘔嘔嘔嘔 :难说，赛博朋克时代就要来了，尤瓦尔赫拉利的未来简史里说，未来有钱人享受高科技，基因筛选，已经和普通人区别开了，进化了,2026-03-26 11:12:31,0,0,,黑龙江,否,https://i2.hdslb.com/bfs/face/291db12250d0bfd9d71353d2220551090e1a6d29.jpg,0.01730416528880596,0.9826958179473877,人类撰写
28,296745059728,294229543617,388630388,老由读书笔记,5,保密,回复 @齁嘔嘔嘔嘔 :最大的幸运就是活在这个时代，未来普通人工作都没有了，有钱人已经不需要穷人给你工作了,2026-03-26 11:13:48,0,0,,黑龙江,否,https://i2.hdslb.com/bfs/face/291db12250d0bfd9d71353d2220551090e1a6d29.jpg,0.01797948218882084,0.9820205569267273,人类撰写
29,294229543617,296746463328,1920798426,齁嘔嘔嘔嘔,5,保密,回复 @老由读书笔记 :你別認為沒有工作，我搞計算機的，你認為ai很可怕，但是ai是個更好的數據分析器+瀏覽器，數據質量決定於你有多少優良資料，而非算力提升，還有你說那個機器人，會跳舞，你認為未來會代替所有工作，但是問題是，機器人連走路都要適配環境，不是你從木地板跑到石頭地板可以無縫接軌，沒有，物理數據不一樣，這個機器人就要重新適配，你知道當今多少公司，拿著ai跑資料，結果還叫了一大堆會計圍在身邊的嗎，你看到的小公司裁員（當然你可以說intel等等科技公司大裁員，但是這是財報問題，與ai關係不大），他可以讓小公司濫竽充數，卻一輩子進去不了金色維也納大廳，ai一定會帶來更多工作，但是要等，也許是10年，也許是100年，人體的壽命太短，但是10年100年其實不長,2026-03-26 11:23:34,0,2,,中国台湾,否,https://i0.hdslb.com/bfs/face/fca164f5287849e64f9ed5ebcd858d34bec424bb.jpg,0.013111518695950508,0.9868884682655334,人类撰写
30,296746463328,294231821777,388630388,老由读书笔记,5,保密,回复 @齁嘔嘔嘔嘔 :这不是我说的，是尤瓦尔赫拉利书里原话，随着科技进步用人的工作自然会减少，几千年前埃及法老建金字塔要几十万人建几十年，现在建一个高楼也只需要几百人几个月，小部分人是有工作的，但是未来大部分人都会失业,2026-03-26 11:38:31,0,0,,黑龙江,否,https://i2.hdslb.com/bfs/face/291db12250d0bfd9d71353d2220551090e1a6d29.jpg,0.01099824346601963,0.9890017509460449,人类撰写
31,296743006704,296748222336,1160341741,予笙-----,5,保密,只能说我还是觉得小时候才快乐，那时候有几块钱买几包五毛钱的零食，能够和小伙伴一起玩就是很幸福的了。越长大对幸福的感知似乎越麻木，需要更大的刺激,2026-03-26 11:40:36,0,0,,浙江,否,https://i1.hdslb.com/bfs/face/914891db4d51e1bd11faffc3ee226e0267e09640.jpg,0.014870129525661469,0.9851298332214355,人类撰写
32,294229415761,296748528144,1920798426,齁嘔嘔嘔嘔,5,保密,回复 @老由读书笔记 :基因篩選啊，你講到這個問題了，沒有人能定義誰是「更優良」的，因此，這是偏好，而非「進化」，還有，在人體巨大變化之前（整個物種演化），每一項的優勢天賦，都是有代價的，還有重複基因太多，整個族群會崩潰，到時候又要回去和親，因此，基因的選擇不是自助餐，而是套餐，要注意這一點,2026-03-26 11:42:49,0,0,,中国台湾,否,https://i0.hdslb.com/bfs/face/fca164f5287849e64f9ed5ebcd858d34bec424bb.jpg,0.025020889937877655,0.9749791026115417,人类撰写
33,296743006704,296748387232,1160341741,予笙-----,5,保密,我觉得唯一真理是人挣钱是为了生活，而不是生活着就是为了挣钱。有钱并不和幸福成正相关。,2026-03-26 11:42:57,0,1,,浙江,否,https://i1.hdslb.com/bfs/face/914891db4d51e1bd11faffc3ee226e0267e09640.jpg,0.020291484892368317,0.9797084927558899,人类撰写
34,296748222336,296748707200,1920798426,齁嘔嘔嘔嘔,5,保密,回复 @予笙----- :對的，這時總觀效應，你的見識愈大，你的信心就愈差，但是不用擔心，那是因為你已經不是小孩子了，不要和孩子搶兒童餐，這樣很奇怪[思考],2026-03-26 11:45:34,0,1,,中国台湾,否,https://i0.hdslb.com/bfs/face/fca164f5287849e64f9ed5ebcd858d34bec424bb.jpg,0.017605865374207497,0.9823940992355347,人类撰写
35,296743006704,296749004672,3537123732884000,无寔,5,保密,看繁体字费劲算不算吃苦[doge_金箍],2026-03-26 11:47:43,0,0,我想，我会让自己真正意义上存在那一刻。,安徽,否,https://i2.hdslb.com/bfs/face/1775d8c43d8e3ba52424648193384d3bcf074f97.jpg,0.15631018579006195,0.8436897993087769,人类撰写
