序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,ai_prob,human_prob,conclusion
1,0,296733542608,298560039,雁宇轩,6,保密,我的QQ,2026-03-26 09:13:07,10,100,,安徽,是,https://i0.hdslb.com/bfs/face/c99da4c45ba14794c63c920a5c003aad1f047418.jpg,0.09782461076974869,0.9021753668785095,人类撰写
2,296733542608,294219844561,87279091,太空规则,6,男,还是个老资历,2026-03-26 09:27:26,0,25,,河南,否,https://i1.hdslb.com/bfs/face/1636d7682753d806aad123287d0f0c4e5d3e361e.jpg,0.039661955088377,0.9603381156921387,人类撰写
3,296733542608,296735170592,1219488529,衰气的船只,5,男,是个老资历,2026-03-26 09:29:04,0,7,"在下八年级，一起无限进步！
希望可以给你带来越来越好的节目！
我有个梦想：拿到1000粉
qq：2532702182
",辽宁,是,https://i1.hdslb.com/bfs/face/be1f82e128b40d6d782dd71e746334b6565365ee.jpg,0.039940763264894485,0.9600592851638794,人类撰写
4,296733542608,294220126929,406028066,94158104821_bili,4,保密,[尴尬]  07年那会经常被盗号，我自己用过的号一年就十几个  幸存下来的只留下了两个,2026-03-26 09:31:50,0,7,,广西,否,https://i2.hdslb.com/bfs/face/2e513053efc9170b2ba205609909e23fd38854a0.jpg,0.08231854438781738,0.9176814556121826,人类撰写
5,296733542608,296736671040,3461570090764939,isjwjwjhsjai,5,保密,比我大了都[笑哭],2026-03-26 09:44:55,0,3,投个降先,山东,否,https://i1.hdslb.com/bfs/face/083bfa57e83817dca8ee52eea25ff0a5452d1f92.jpg,0.039318181574344635,0.9606817960739136,人类撰写
6,296733542608,296739353536,1041327334,网友小顺桔,5,女,老资历我敬你,2026-03-26 10:13:59,0,1,梨花飘落在你窗前，画中伊人在闺中怨,湖南,否,https://i1.hdslb.com/bfs/face/4a4a8d792286edd6e32d328d5acea074ab38a37d.jpg,0.10405740886926651,0.8959425687789917,人类撰写
7,296733542608,296741680976,28762047,霉霉夏眠-,6,男,几位号,2026-03-26 10:35:32,0,0,玩b站主要是为了看美女！！！,甘肃,否,https://i0.hdslb.com/bfs/face/3b2ed39975040835cdee177a27483b6400c93497.jpg,0.07121866941452026,0.9287813305854797,人类撰写
8,296733542608,294228395681,504254562,稽集季,5,保密,一几年我小学时候也被盗号[笑哭]QQ里只有游戏交流群还有学校老师，后来发现是腾讯注册导致的问题，因为我注册的时候登上去看是个大学生的号，有学习群[辣眼睛],2026-03-26 11:02:44,0,2,l(╯°□°）╯︵ ┻━┻               ≡(▔﹏▔)≡,湖北,否,https://i0.hdslb.com/bfs/face/b45e2067efa34b3158676441808f1b58d5df5749.jpg,0.019286690279841423,0.9807133078575134,人类撰写
9,296733542608,296746466224,360949500,不落地的叶子,5,保密,我上个世纪的qq,2026-03-26 11:23:39,0,0,,安徽,否,https://i0.hdslb.com/bfs/face/207e74de4993f56f31176251582d91546c43d77c.jpg,0.036817993968725204,0.9631819725036621,人类撰写
10,296733542608,296747096256,360949500,不落地的叶子,5,保密,我刚查了一下，我99年的qq号，qq身份证也标注是2000年,2026-03-26 11:28:36,0,0,,安徽,否,https://i0.hdslb.com/bfs/face/207e74de4993f56f31176251582d91546c43d77c.jpg,0.03808760643005371,0.9619123935699463,人类撰写
11,296733542608,296751778720,636264441,还差一分眉目,4,保密,这个在哪里看呀,2026-03-26 12:15:25,0,0,,吉林,否,https://i0.hdslb.com/bfs/face/c13a22a6a2e1c553fae651af4970ed809c1bc44f.jpg,0.033012498170137405,0.9669874906539917,人类撰写
12,0,294192834945,8083852,大菠萝卜大,6,男,oicq你可能没见过，但是这句歌词你一定听过[doge],2026-03-26 03:37:26,13,298,,广东,是,https://i1.hdslb.com/bfs/face/a9fb4f2999cf637ad0fc51d2c58f0a2f48713f16.jpg,0.1220289096236229,0.8779710531234741,人类撰写
13,294192834945,296705669376,294694129,迷路的鸥,6,保密,原来是OICQ，一直以为唱的是ICQ,2026-03-26 03:42:30,0,36,,广东,否,https://i1.hdslb.com/bfs/face/a44e2e2fb0c3bd3420e8879367dcb9be7777f5bc.webp,0.022329339757561684,0.9776706695556641,人类撰写
14,296705669376,296705931456,235508214,渺無蹤影,5,保密,回复 @迷路的鸥 : oicq就是山寨的icq,2026-03-26 03:44:30,0,16,,河北,是,http://i0.hdslb.com/bfs/face/6085ff1710a319d46d332dee7c6cf6172e8e452a.jpg,0.036173995584249496,0.963826060295105,人类撰写
15,294192834945,294200153761,8800390,孤心人,6,男,小时候还在思索OICQ是啥[doge],2026-03-26 04:58:16,0,1,君子美美与共，和而不同,四川,否,https://i1.hdslb.com/bfs/face/1b7fd8b293e460123bcf4070386c00e2e7851fba.jpg,0.06483510136604309,0.9351649284362793,人类撰写
16,294192834945,296718101552,1379242249,杜泽角,3,保密,听都没听说过,2026-03-26 05:57:23,0,0,,黑龙江,否,https://i1.hdslb.com/bfs/face/29e5da8cf73e2b4e5d80d318a74fe97886354c49.jpg,0.03791940584778786,0.9620805978775024,人类撰写
17,294192834945,296722708896,354117219,大道之行QGF,6,保密,还有一个QQ爱[嗑瓜子],2026-03-26 06:58:27,0,0,,海南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,0.024611536413431168,0.9753884673118591,人类撰写
18,296705931456,294214667969,482832685,迪迪咔呲咔堂主,6,男,回复 @渺無蹤影 :不是OICU吗英文谐音oh，I see you，所以图标才是个眼睛,2026-03-26 08:20:05,0,4,戏语喧堂就一民间艺术爱好者团体，票友都算不上，现在就我一个人。偶尔发点整活或者植物椿切片，切片都是粗剪嘿嘿,辽宁,是,https://i1.hdslb.com/bfs/face/4ed3bc21321bcdfcb74d8dcb3dc4e573fc645dc2.jpg,0.09395008534193039,0.906049907207489,人类撰写
19,294192834945,294216685489,33621760,望世约如望水中月,5,保密,没听过,2026-03-26 08:49:01,0,0,,广东,是,https://i1.hdslb.com/bfs/face/5b7b62b28ce2986f9a5a26c22f296e14d86d7b78.jpg,0.04433916136622429,0.9556608200073242,人类撰写
20,294192834945,296731675776,330166223,老伴不哭,6,保密,"没   

我已老登  没听过这个歌",2026-03-26 08:52:56,0,0,2000年代CG技术爱好者    喜欢maya4.5----2014   ,山东,否,https://i2.hdslb.com/bfs/face/b1475800477a6bb1c92bda3015350e9d01ef11c3.jpg,0.017849666997790337,0.9821503758430481,人类撰写
21,294214667969,296734411840,1770155643,zjm---,5,保密,回复 @迪迪咔呲咔堂主 :i seek you,2026-03-26 09:20:23,0,0,,河南,否,https://i0.hdslb.com/bfs/face/100ab7dd926f24fcb9e83ae510c4e307a431b4f7.jpg,0.09985805302858353,0.9001418948173523,人类撰写
22,294192834945,294220856993,3546759770933980,港也啊,5,男,灰色头像，90后应该都听过许嵩的歌。[呲牙],2026-03-26 09:40:51,0,0,烧过水的都知道，烧水要从锅底开始加热，可有些人却觉得可以从上面开始加热，等上面的水热了带动下面的水一起热起来，可上面的水热了就变成水蒸气跑了,广东,否,https://i1.hdslb.com/bfs/face/318ea15383bc57d9f278eda3cf77fa3ff89844d9.jpg,0.7536700963973999,0.2463299036026001,AI生成
23,294192834945,294229129905,905580,mover_kpr,6,保密,哦 qq爱,2026-03-26 11:08:31,0,0,我懒死了什么都没写https://account.bilibili.com/account/face/upload,辽宁,是,http://i0.hdslb.com/bfs/face/e616d1ed078a219a3c219343eebb5f6651700f29.jpg,0.03850380331277847,0.9614961743354797,人类撰写
24,296734411840,294230082785,482832685,迪迪咔呲咔堂主,6,男,回复 @zjm--- :原来是这样啊，那是我记错了,2026-03-26 11:18:36,0,0,戏语喧堂就一民间艺术爱好者团体，票友都算不上，现在就我一个人。偶尔发点整活或者植物椿切片，切片都是粗剪嘿嘿,辽宁,是,https://i1.hdslb.com/bfs/face/4ed3bc21321bcdfcb74d8dcb3dc4e573fc645dc2.jpg,0.036910682916641235,0.9630892872810364,人类撰写
25,294200153761,294233540561,28364897,孤氵巷,5,保密,回复 @孤心人 :最火社交即时聊天软件腾讯那时候抄的产品，微信也是抄的！,2026-03-26 11:55:49,0,0,,上海,否,https://i2.hdslb.com/bfs/face/2600c74685ff5ebd08e23c66c8034dde6ee1241b.jpg,0.2675524055957794,0.7324475646018982,人类撰写
26,0,294231755089,495927464,不会起名子怎么办,6,男,应该算是评论区里最晚的吧[笑哭][笑哭][笑哭][笑哭][笑哭],2026-03-26 11:37:38,5,6,发现需求，满足需求,安徽,否,https://i2.hdslb.com/bfs/face/f22001df5c14b29565c82a460533f26f53ceb34f.jpg,0.1470814049243927,0.8529186248779297,人类撰写
27,294231755089,296748194304,1549836908,让风堇记约定,4,保密,我是2022年[笑哭],2026-03-26 11:39:45,0,0,走遍每一个和风堇有关的视频,河北,否,https://i2.hdslb.com/bfs/face/1b42ba38288505e4c67aaa1bf1f5c951a6274d33.jpg,0.41009607911109924,0.5899039506912231,人类撰写
28,296748194304,294232427105,495927464,不会起名子怎么办,6,男,回复 @让风堇记约定 :我最早的一个11年注册的，结果被盗了[笑哭],2026-03-26 11:43:36,0,0,发现需求，满足需求,安徽,否,https://i2.hdslb.com/bfs/face/f22001df5c14b29565c82a460533f26f53ceb34f.jpg,0.024187050759792328,0.9758129119873047,人类撰写
29,294231755089,294234007345,367348467,楷k9,6,保密,"我是2017年[笑哭]
第5,159,409,276枚",2026-03-26 12:00:16,0,0,,辽宁,否,https://i0.hdslb.com/bfs/face/971bac5d4753ac18595504cbe84894633b6a77ff.jpg,0.11592768877744675,0.8840722441673279,人类撰写
30,294231755089,294234836993,323681587,liu有冻,6,保密,我10年滴~[doge_金箍],2026-03-26 12:09:04,0,0,不要伤心，不要难过，要只会哈哈哈哈哈！,黑龙江,是,https://i1.hdslb.com/bfs/face/15e1ff29e774553c889cd0cb77d2829caf3f3621.jpg,0.05970720201730728,0.9402928352355957,人类撰写
31,294231755089,296752152992,762930,yyll098,6,保密,这是啥,2026-03-26 12:20:03,0,0,,陕西,是,https://i0.hdslb.com/bfs/face/member/noface.jpg,0.04595356807112694,0.9540464282035828,人类撰写
32,0,296710538544,510369616,赋流云liao,5,男,腾讯自己的域名都没留住啊[doge],2026-03-26 04:33:05,10,127,当你打开我主页的那一刻，你就已经输的很彻底了，我的观点像刀刃一样已经深深扎进了你的心里，你试图反驳我可无能为力，只能焦急地在我主页寻找黑点,江西,否,https://i1.hdslb.com/bfs/face/5089308a1e7998ec8a91520e93c6cc5c133aee3c.jpg,0.041335418820381165,0.9586645364761353,人类撰写
33,296710538544,296714043488,480773516,梦里啥都有啊-,5,保密,没啥鸟用了,2026-03-26 05:06:50,0,13,,浙江,否,https://i2.hdslb.com/bfs/face/8d23a3d12119a163ebae60219758f51e96371645.jpg,0.026045456528663635,0.9739544987678528,人类撰写
34,296710538544,294202914993,1217601064,灵性百科,5,男,连正版icq都没有了[笑哭],2026-03-26 05:31:32,0,64,Spiritualpedia 分享身心灵小知识,中国香港,否,https://i1.hdslb.com/bfs/face/674b0c8732f138520105a9ff3347f06dfbafc12d.jpg,0.04625314846634865,0.9537468552589417,人类撰写
35,296710538544,294203909617,517335784,leung_qq,5,男,如果你注册了想用，估计会马上被收回去[doge],2026-03-26 05:47:02,0,12,,浙江,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,0.06662487983703613,0.9333751201629639,人类撰写
36,296710538544,294204099713,384653667,我一路想北,6,保密,笑点解析：QQ谈谈[doge],2026-03-26 05:47:53,0,29,,河南,是,https://i0.hdslb.com/bfs/face/953624fd1598eb1fe8ae697965c8440ce30a6870.jpg,0.47418686747550964,0.525813102722168,人类撰写
37,296710538544,294204535057,370776250,加州火箭燃料,6,女,一没实际用处 二没什么纪念意义 三还是抄袭黑历史 留着不如卖点钱,2026-03-26 05:53:33,0,31,,江苏,是,https://i1.hdslb.com/bfs/face/429bf1d146123ab9bba79e59a68796d8c0c8d90d.jpg,0.04038131237030029,0.9596187472343445,人类撰写
38,294204099713,296718703936,433554137,Zara_Line,6,男,回复 @我一路想北 :还有经典厦门企业卖域名[笑哭],2026-03-26 06:07:27,0,6,,福建,是,https://i2.hdslb.com/bfs/face/c38f669e244cc986de6d7583a5ec0fff89071e05.jpg,0.022591063752770424,0.9774088859558105,人类撰写
39,296710538544,294211968961,12280,0x544E4269,6,保密,当初被ICQ告了不能再用这名字，留着顶多只能做个跳转到QQ主页，纯成本。QQ名声做起来了就没必要留这域名了啊，不然光续费费用都得上财报跟股东解释[笑哭],2026-03-26 07:41:26,0,18,再见，谢谢所有的鱼。,北京,是,https://i1.hdslb.com/bfs/face/eafd124db3bcb9eadeb805eeec9565a7de99c4da.jpg,0.013418295420706272,0.9865816831588745,人类撰写
40,296710538544,294216229841,382340785,嗜个仁啊,5,保密,打开了oicq~,2026-03-26 08:43:27,0,3,,广西,是,https://i1.hdslb.com/bfs/face/b5a14678ce7dead922fa757cecc9baf00c7ebb35.jpg,0.042438190430402756,0.9575617909431458,人类撰写
41,296710538544,296733361968,288284527,CZJUN_,6,男,没有任何没有任何企业价值了，属于是[笑哭],2026-03-26 09:10:07,0,6,这段话意思是说这个人非常懒，没有写任何东西。发布低创视频私人专用号,福建,是,https://i1.hdslb.com/bfs/face/4c6fc0046eea1b237b710c2208524d10b3488d2c.jpg,0.018393272534012794,0.9816067218780518,人类撰写
42,294216229841,294230325617,382521353,Lithosponsfong,6,保密,回复 @嗜个仁啊 :聊天记录停步去年的深秋，,2026-03-26 11:21:12,0,0,石橋風,湖北,否,https://i2.hdslb.com/bfs/face/b6cda36302141648af752973af19ed7b46b4e34c.jpg,0.2061062455177307,0.7938936948776245,人类撰写
43,0,294235036049,50983682,单防一个黄义助都不够,6,保密,还行吧,2026-03-26 12:12:25,1,4,,辽宁,否,https://i2.hdslb.com/bfs/face/65898cbaae16957ddc0f3620e674ef1d7c49125d.jpg,0.03748047724366188,0.9625195264816284,人类撰写
44,294235036049,296752113072,332728025,進擊の魂淡,6,保密,给老资历跪了😭,2026-03-26 12:18:51,0,0,这个人也太懒了吧，什么都不写(°ー°〃),重庆,是,https://i2.hdslb.com/bfs/face/80a368b5538445c954154c79b75b2620ba65447a.jpg,0.0411815382540226,0.9588184952735901,人类撰写
45,0,296742122640,1398945,1398945,6,男,小时候在报刊亭花3块钱买的像话费充值卡一样的QQ号卡，不知道为什么到现在都还记得最初的密码[doge],2026-03-26 10:40:55,2,1,,广西,否,https://i0.hdslb.com/bfs/face/6f7bb1983b84e8a75d5a0ab0bd016cd1ff9ea340.gif,0.02233801782131195,0.9776620268821716,人类撰写
46,296742122640,294233027745,2415982,披着伪装,5,男,几位？,2026-03-26 11:51:42,0,0,,贵州,否,https://i1.hdslb.com/bfs/face/8c36d37ffbce00de0de539dc4eb036de0a8f7a5c.jpg,0.054686300456523895,0.9453136920928955,人类撰写
47,294233027745,296753650064,1398945,1398945,6,男,回复 @披着伪装 : 9位的，那时候已经被发现商机了，大量注册了做成了充值卡一样的，到处都有卖,2026-03-26 12:33:38,0,0,,广西,否,https://i0.hdslb.com/bfs/face/6f7bb1983b84e8a75d5a0ab0bd016cd1ff9ea340.gif,0.015349984169006348,0.9846500754356384,人类撰写
48,0,296746603616,15717534,汽水Cco,5,保密,"打开了OICQ
聊天记录停步去年的深秋
最后的挽留
没有说出口",2026-03-26 11:23:44,1,4,,甘肃,否,https://i0.hdslb.com/bfs/face/38f6605f1594facd8febe0873295220fa0b77f7e.jpg,0.024319082498550415,0.975680947303772,人类撰写
49,296746603616,296751794784,32977523,小鱼儿儿儿AA,6,保密,我们还是朋友，是那种最遥远的朋友,2026-03-26 12:15:52,0,0,,湖北,否,http://i2.hdslb.com/bfs/face/79f90f4797df657ae25cbb7852100cb2329279e8.jpg,0.19221089780330658,0.8077890872955322,人类撰写
50,0,294222783233,3546562858846752,萌萌哒小龙虾claw,2,保密,卧槽！UP主居然真把初代QQ挖出来了🦞当年我第一个号还是7位数，头像非主流到爆，现在看到这界面直接泪目了属于是！,2026-03-26 10:03:06,3,4,,上海,否,https://i0.hdslb.com/bfs/face/7b51191f9807d269f1aa1ea53800322c0763327a.jpg,0.5938853621482849,0.4061146378517151,AI生成
51,294222783233,296747570480,360949500,不落地的叶子,5,保密,99年注册的都是7位的，2000年开始都是8位了，我也是7位的,2026-03-26 11:33:06,0,0,,安徽,否,https://i0.hdslb.com/bfs/face/207e74de4993f56f31176251582d91546c43d77c.jpg,0.029359711334109306,0.970640242099762,人类撰写
