序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,ai_prob,human_prob,conclusion
1,0,294182222625,299342057,why眼镜,5,保密,为什么不睡啊。。怎么会有人累了还要强撑着去跑步。。,2026-03-26 00:56:42,14,28,,福建,是,https://i2.hdslb.com/bfs/face/b28087b415a3b12534193f3ac8369c4a426f86c8.jpg,0.042988359928131104,0.9570116400718689,人类撰写
2,294182222625,294184764977,475794182,啦啦brave,5,保密,跑步什么意思,2026-03-26 01:40:54,0,3,,北京,否,https://i2.hdslb.com/bfs/face/3bcbbd5f3531f529e2eac94ce31e02afd232ca41.jpg,0.07445700466632843,0.9255430102348328,人类撰写
3,294182222625,296698173440,124032338,第十人的剩糖,6,男,精神压力太大了睡不着，只能靠身体的疲惫强行入睡,2026-03-26 02:05:12,0,16,保持怀疑，自我思考,四川,否,https://i2.hdslb.com/bfs/face/e7acfc0e50f1fca454beb9e812cc5df960ab4476.jpg,0.2837415337562561,0.7162584066390991,人类撰写
4,294184764977,294192811505,12868267,ddtt222222,6,男,回复 @啦啦brave :跑步就是跑步你以为干嘛,2026-03-26 03:36:27,0,8,蝴蝶,广东,否,https://i1.hdslb.com/bfs/face/7b761fe6ccc6e596c91655c1fc9b3b22eaf4fc59.jpg,0.04123055934906006,0.9587695002555847,人类撰写
5,294192811505,294198212977,475794182,啦啦brave,5,保密,回复 @ddtt222222 :我就问一下，至于那么凶么[笑哭],2026-03-26 04:37:02,0,2,,北京,否,https://i2.hdslb.com/bfs/face/3bcbbd5f3531f529e2eac94ce31e02afd232ca41.jpg,0.04229454696178436,0.9577054381370544,人类撰写
6,294182222625,296711338336,21654201,唐纳德首席地下交通员,6,保密,失眠是睡不着的。。。不是不想睡，大脑一直活跃的，亢奋或者抑制，都让人睡不着。[笑哭],2026-03-26 04:39:58,0,1,,河北,是,https://i0.hdslb.com/bfs/face/6eb954b3724df537d44dfebf05c99949dec0f873.jpg,0.021556803956627846,0.9784431457519531,人类撰写
7,294184764977,294199557457,1566594281,很呔很八嘎,5,保密,回复 @啦啦brave :同问，跑步是什么意思,2026-03-26 04:51:20,0,0,,河南,否,https://i2.hdslb.com/bfs/face/d3799844d5266346548475c1f4fc4fc0d2259b15.jpg,0.15286678075790405,0.847133219242096,人类撰写
8,294184764977,294209469393,528707576,瞅我眼神111,5,保密,回复 @啦啦brave :就是字面意思 跑步 锻炼 本来工作身体已经很疲惫了 还去高强度锻炼 跑步 心脏一下子受不了,2026-03-26 07:04:16,0,2,,江苏,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,0.026116976514458656,0.9738830924034119,人类撰写
9,294209469393,294210540065,475794182,啦啦brave,5,保密,回复 @瞅我眼神111 :不理解[笑哭],2026-03-26 07:21:11,0,0,,北京,否,https://i2.hdslb.com/bfs/face/3bcbbd5f3531f529e2eac94ce31e02afd232ca41.jpg,0.157123863697052,0.8428760766983032,人类撰写
10,294182222625,294213881889,76466990,空丶只是一场梦,5,男,不想做底层，焦虑，唉，卷到死，才41岁啊，太年轻了,2026-03-26 08:09:21,0,0,,广东,是,https://i2.hdslb.com/bfs/face/e90057484e1eb6f108506550d568cb38f7b6dfc8.jpg,0.022864913567900658,0.9771350622177124,人类撰写
11,294210540065,296728655472,22082402,Sharl_Legrerg,6,男,回复 @啦啦brave :完全不理解你为什么不理解,2026-03-26 08:17:33,0,4,活着。,新加坡,是,https://i2.hdslb.com/bfs/face/77c2cf29127ef314e5171b60b3ba7b182d55b85a.jpg,0.09379688650369644,0.9062030911445618,人类撰写
12,294182222625,294216278657,410623478,潜水成神,6,保密,非常困，但就是睡不着，知道是什么感觉吗？,2026-03-26 08:43:17,0,0,,浙江,否,http://i2.hdslb.com/bfs/face/8b907194e08a1b412ccc759c987893b71fa036a5.jpg,0.043886683881282806,0.9561132788658142,人类撰写
13,294213881889,294222851073,264177082,木已成苦作舟,5,保密,回复 @空丶只是一场梦 : 这是正常的喜欢锻炼吧 这不存在卷 只是他对自己身体认知错了 该休息就休息,2026-03-26 10:02:42,0,0,,河南,否,https://i1.hdslb.com/bfs/face/4418947e8fe93342d8ec7c54197622f809f2da7e.jpg,0.014869102276861668,0.9851308465003967,人类撰写
14,294182222625,294227476961,3546742236646079,__JellyChen__,4,女,为了两个孩子，一个是自己的骨肉，一个是自己的企业,2026-03-26 10:52:06,0,0,疯,湖北,否,https://i2.hdslb.com/bfs/face/909f2c7d6905cf4fb06a8a264e0f85cefda91ba9.jpg,0.0609741136431694,0.9390258193016052,人类撰写
15,294184764977,296753558224,1764540108,bingbaitt,5,保密,回复 @啦啦brave :跑步能缓解压力，说明他的这个工作压力相当大,2026-03-26 12:32:45,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/eb58f347d560732b545cbee17557429fb9a43f9f.jpg,0.04258056730031967,0.9574193954467773,人类撰写
16,0,296687140784,3493262924974100,奥利爱分享,3,保密,真就是一念之间，如果他累了是去睡觉而不是跑步，就完全是另一种结果[捂脸],2026-03-25 21:53:03,7,126,谢谢你把时间借给我，愿你被世界温柔以待。,天津,否,https://i2.hdslb.com/bfs/face/9c11ef8915fce3264d51b8d0d82b2ff9864d5724.jpg,0.020426493138074875,0.9795734882354736,人类撰写
17,296687140784,296693825120,2231017,穿愈创木的李先生,6,男,这种就是精神压力太大了，睡不着，希望通过运动身体疲累后进入睡眠。,2026-03-26 00:58:20,0,55,享受香水与游戏的美好,重庆,否,https://i1.hdslb.com/bfs/face/7a7ddd2938be3636ac94f825d9d50cd8d76e6ef1.jpg,0.016507500782608986,0.9834924936294556,人类撰写
18,296687140784,296694491840,100175741,小飞棍来哝,6,男,不具备这种认知，这次可能睡觉了下次还跑，习惯不改变早晚的事,2026-03-26 01:08:51,0,34,,北京,否,https://i2.hdslb.com/bfs/face/c6832343e42c24c4e07b029d6ae885184bce7949.jpg,0.019000519067049026,0.9809994697570801,人类撰写
19,296687140784,296700419904,12682633,翱翔青空的羽翼,6,男,躲过这一次还有下一次的 ，除非以后都这样,2026-03-26 02:36:07,0,12,向往自由的飞鸟，再没有栖息的枝头。竭尽全力奔赴的终点，不过是早已备好的坟墓。,湖南,否,https://i1.hdslb.com/bfs/face/f9b4b047799d1b40a576df663cbeccae51414cf8.jpg,0.017554450780153275,0.982445478439331,人类撰写
20,296687140784,296727980320,453499831,泉此方kawaii,5,保密,他之前因为心脏病都进过一次医院了，这次还是没逃过去，说明命中注定的一劫[笑哭],2026-03-26 08:09:19,0,1,Timotei Timotei Timotei,湖南,是,https://i1.hdslb.com/bfs/face/46cb3a6f48387d1dee983f1c6b04a3140c1403bd.jpg,0.025612426921725273,0.9743875861167908,人类撰写
21,296693825120,296732540304,32179811,幺蛾子妖中妖,5,保密,回复 @穿愈创木的李先生 :就是野心太大了，他现在原地退休，也够三代花了,2026-03-26 09:02:16,0,1,,浙江,是,https://i2.hdslb.com/bfs/face/bffb2f4a445eaa4d0a2c92a1e45941e25384b84b.jpg,0.14442753791809082,0.8555724620819092,人类撰写
22,296687140784,294226028465,408299471,hwg2229040,6,保密,[doge]你试过精神疲惫身体没累，躺床上一两小时都睡不着没？但凡试过就不会说这话。,2026-03-26 10:36:56,0,0,别回复我，一律拉黑。不想和小朋友说话。,广东,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,0.017551375553011894,0.9824486374855042,人类撰写
23,294226028465,294228670065,295329279,DvD_H,5,保密,回复 @hwg2229040 :那感觉就像，清楚的听到自己的心跳声很快，看到脑海里杂乱的想法，到了睡觉的时间却怎么都睡不着。,2026-03-26 11:04:13,0,0,见识越多，偏见越少,浙江,是,https://i0.hdslb.com/bfs/face/704bd685d9496b293fff65566d3f10096cc9532d.jpg,0.029350826516747475,0.9706491231918335,人类撰写
